"Email","Email"
"SMS","SMS"
"Mobile number cannot be null.","Mobile number cannot be null."
"Product group ID cannot be null.","Product group ID cannot be null."
"Dark","Dark"
"Light","Light"
"System (Default)","System (Default)"
